category,asset_name,imageset_path,reason
Destinations,postcard_destination_city_istanbul,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_istanbul.imageset,runtime text/reference
Destinations,postcard_destination_city_kyoto,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_kyoto.imageset,runtime text/reference
Destinations,postcard_destination_city_london,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_london.imageset,runtime text/reference
Destinations,postcard_destination_city_los_angeles,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_los_angeles.imageset,runtime text/reference
Destinations,postcard_destination_city_melbourne,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_melbourne.imageset,runtime text/reference
Destinations,postcard_destination_city_new_york,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_new_york.imageset,runtime text/reference
Destinations,postcard_destination_city_paris,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_paris.imageset,runtime text/reference
Destinations,postcard_destination_city_reykjavik,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_reykjavik.imageset,runtime text/reference
Destinations,postcard_destination_city_rio,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_rio.imageset,runtime text/reference
Destinations,postcard_destination_city_rome,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_rome.imageset,runtime text/reference
Destinations,postcard_destination_city_san_francisco,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_san_francisco.imageset,runtime text/reference
Destinations,postcard_destination_city_seoul,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_seoul.imageset,runtime text/reference
Destinations,postcard_destination_city_shanghai,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_shanghai.imageset,runtime text/reference
Destinations,postcard_destination_city_singapore,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_singapore.imageset,runtime text/reference
Destinations,postcard_destination_city_sydney,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_sydney.imageset,runtime text/reference
